date,compte,libellé,description,debit,credit,journal,reference
2023-01-01,512000,Banque principale,Apport en numéraire,100000,0,BNK,APPORT-001
2023-01-01,101000,Capital social,Libération du capital,0,100000,BNK,APPORT-001
2023-02-10,602000,Achat de prestations,Facture prestataire A,15000,0,ACH,FAC-001
2023-02-10,445660,TVA déductible,Facture prestataire A,3000,0,ACH,FAC-001
2023-02-10,401000,Fournisseurs,Facture prestataire A,0,18000,ACH,FAC-001
2023-02-18,622000,Honoraires juridiques,Facture cabinet B,7000,0,ACH,FAC-002
2023-02-18,445660,TVA déductible,Facture cabinet B,1400,0,ACH,FAC-002
2023-02-18,401000,Fournisseurs,Facture cabinet B,0,8400,ACH,FAC-002
2023-03-02,602000,Achat de prestations,Facture consultant C,3000,0,ACH,FAC-003
2023-03-02,445660,TVA déductible,Facture consultant C,600,0,ACH,FAC-003
2023-03-02,401000,Fournisseurs,Facture consultant C,0,3600,ACH,FAC-003
2023-03-15,401000,Fournisseurs,Règlement facture prestataire A,18000,0,BNK,PAI-001
2023-03-15,512000,Banque principale,Règlement facture prestataire A,0,18000,BNK,PAI-001
2023-03-28,401000,Fournisseurs,Acompte consultant C,3000,0,BNK,PAI-002
2023-03-28,512000,Banque principale,Acompte consultant C,0,3000,BNK,PAI-002
2023-04-05,411000,Clients,Facture client X,36000,0,VEN,FCL-001
2023-04-05,706000,Produits de services,Facture client X,0,30000,VEN,FCL-001
2023-04-05,445710,TVA collectée,Facture client X,0,6000,VEN,FCL-001
2023-04-20,512000,Banque principale,Règlement client X,36000,0,BNK,ENC-001
2023-04-20,411000,Clients,Règlement client X,0,36000,BNK,ENC-001
2023-04-30,661000,Charges financières,Intérêts d'emprunt,2000,0,BNK,INT-001
2023-04-30,512000,Banque principale,Intérêts d'emprunt,0,2000,BNK,INT-001
